timestamp,fps,status,confidence,face_present,avg_ear,eyes_closed_time,gaze_direction,gaze_away_time,yaw,pitch,roll
2025-11-25T11:56:13.221205Z,1.2,distracted,0.6,True,0.472,0.0,right,39.74,-3.33,174.74,5.9
2025-11-25T11:56:14.053882Z,1.2,distracted,0.6,True,0.476,0.0,right,40.56,-5.37,175.44,7.71
2025-11-25T11:56:14.923347Z,1.2,distracted,0.6,True,0.472,0.0,right,41.41,-4.37,174.01,8.65
2025-11-25T11:56:15.779463Z,1.2,distracted,0.6,True,0.472,0.0,right,42.29,-5.99,174.78,8.85
2025-11-25T11:56:16.619503Z,1.2,distracted,0.6,True,0.486,0.0,right,43.13,-8.8,174.06,6.0
2025-11-25T11:56:17.448727Z,1.2,distracted,0.6,True,0.481,0.0,right,43.95,-3.38,174.34,3.79
2025-11-25T11:56:18.279885Z,1.2,distracted,0.6,True,0.476,0.0,right,44.79,-3.15,173.67,4.18
2025-11-25T11:56:19.129655Z,1.2,distracted,0.6,True,0.474,0.0,right,45.63,-4.34,173.37,5.39
2025-11-25T11:56:19.959357Z,1.2,distracted,0.6,True,0.468,0.0,right,46.47,-5.26,174.03,5.73
2025-11-25T11:56:20.809816Z,1.2,distracted,0.6,True,0.454,0.0,right,47.3,-4.5,174.37,5.4
2025-11-25T11:56:21.642974Z,1.2,distracted,0.6,True,0.45,0.0,right,48.14,-4.08,173.53,5.33
2025-11-25T11:56:22.495477Z,1.2,distracted,0.6,True,0.467,0.0,right,48.99,-3.57,173.2,5.48
2025-11-25T11:56:23.331721Z,1.2,distracted,0.6,True,0.471,0.0,right,49.84,-4.45,174.05,5.66
2025-11-25T11:56:24.165043Z,1.2,distracted,0.6,True,0.467,0.0,right,50.67,-1.83,173.68,4.88
2025-11-25T11:56:25.019498Z,1.2,distracted,0.6,True,0.465,0.0,right,51.51,-5.78,174.89,6.16
2025-11-25T11:56:25.859323Z,1.2,distracted,0.6,True,0.474,0.0,right,52.36,-7.46,172.99,6.99
2025-11-25T11:56:26.698008Z,1.2,distracted,0.6,True,0.478,0.0,right,53.2,-5.06,174.06,6.41
2025-11-25T11:56:27.537627Z,1.2,distracted,0.6,True,0.46,0.0,right,54.04,-3.95,174.89,6.6
2025-11-25T11:56:28.371765Z,1.2,distracted,0.6,True,0.456,0.0,right,54.88,-2.62,174.38,6.79
2025-11-25T11:56:29.233281Z,1.2,distracted,0.6,True,0.465,0.0,right,55.72,-4.21,174.24,6.52
2025-11-25T11:56:30.079501Z,1.2,distracted,0.6,True,0.469,0.0,right,56.59,-7.15,173.8,7.84
2025-11-25T11:56:30.917731Z,1.2,distracted,0.6,True,0.47,0.0,right,57.42,-4.88,174.59,7.48
2025-11-25T11:56:31.741774Z,1.2,distracted,0.6,True,0.481,0.0,right,58.25,-5.03,174.83,6.81
2025-11-25T11:56:32.574624Z,1.2,distracted,0.6,True,0.491,0.0,right,59.08,-6.02,174.19,7.5
2025-11-25T11:56:33.419450Z,1.2,distracted,0.6,True,0.473,0.0,right,59.93,-5.02,173.56,7.08
2025-11-25T11:56:34.269693Z,1.2,distracted,0.6,True,0.455,0.0,right,60.77,-4.94,174.7,6.63
2025-11-25T11:56:35.092247Z,1.2,distracted,0.6,True,0.459,0.0,right,61.61,-5.89,174.46,6.17
2025-11-25T11:56:35.944139Z,1.2,distracted,0.6,True,0.469,0.0,right,62.43,-3.38,174.33,5.94
2025-11-25T11:56:36.799523Z,1.2,distracted,0.6,True,0.473,0.0,right,63.31,-4.16,174.33,6.5
2025-11-25T11:56:37.659688Z,1.2,distracted,0.6,True,0.476,0.0,right,64.15,-5.54,173.44,6.31
2025-11-25T11:56:38.521577Z,1.2,distracted,0.6,True,0.475,0.0,right,65.0,-5.36,174.29,7.1
2025-11-25T11:56:39.349508Z,1.2,distracted,0.6,True,0.473,0.0,right,65.86,-4.62,173.66,7.46
2025-11-25T11:56:40.181113Z,1.2,distracted,0.6,True,0.463,0.0,right,66.69,10.67,173.45,-2.78
2025-11-25T11:56:41.033302Z,1.2,distracted,0.6,True,0.475,0.0,right,67.52,10.87,171.69,-4.0
2025-11-25T11:56:41.890818Z,1.2,distracted,0.6,True,0.485,0.0,right,68.37,5.95,172.06,-1.04
2025-11-25T11:56:42.753341Z,1.2,distracted,0.6,True,0.455,0.0,right,69.25,-11.58,173.75,9.34
2025-11-25T11:56:43.593157Z,1.2,distracted,0.6,True,0.44,0.0,right,70.1,-7.87,172.01,8.19
2025-11-25T11:56:44.443271Z,1.2,distracted,0.6,True,0.447,0.0,right,70.93,-6.28,170.5,8.71
2025-11-25T11:56:45.281187Z,1.2,distracted,0.6,True,0.455,0.0,right,71.79,-6.8,171.85,8.47
2025-11-25T11:56:46.132750Z,1.2,distracted,0.6,True,0.415,0.0,right,72.63,-7.34,172.96,8.84
2025-11-25T11:57:02.374322Z,0.4,distracted,0.6,True,0.423,0.0,right,0.0,-0.43,171.69,6.33
2025-11-25T11:57:03.247797Z,0.5,distracted,0.6,True,0.415,0.0,right,0.88,-2.12,173.21,7.04
2025-11-25T11:57:04.072233Z,0.6,distracted,0.6,True,0.41,0.0,right,1.71,-3.37,171.61,6.55
2025-11-25T11:57:04.905301Z,0.6,distracted,0.6,True,0.436,0.0,right,2.53,-5.98,173.38,5.29
2025-11-25T11:57:05.729706Z,0.7,distracted,0.6,True,0.46,0.0,right,3.38,-7.1,172.61,5.58
2025-11-25T11:57:06.578554Z,0.7,distracted,0.6,True,0.463,0.0,right,4.22,-2.87,173.04,4.83
2025-11-25T11:57:07.540098Z,0.8,distracted,0.6,True,0.46,0.0,right,5.18,-4.84,174.44,5.45
2025-11-25T11:57:08.400660Z,0.8,distracted,0.6,True,0.451,0.0,right,6.03,-3.53,174.42,5.86
2025-11-25T11:57:09.478237Z,0.8,distracted,0.6,True,0.44,0.0,right,7.08,-4.44,174.28,5.87
2025-11-25T11:57:10.318424Z,0.9,distracted,0.6,True,0.435,0.0,right,7.95,-0.69,173.31,5.98
2025-11-25T11:57:11.152334Z,0.9,distracted,0.6,True,0.441,0.0,right,8.78,-1.41,174.32,5.56
2025-11-25T11:57:11.993814Z,0.9,distracted,0.6,True,0.444,0.0,right,9.63,-0.91,173.93,5.1
2025-11-25T11:57:12.829194Z,0.9,distracted,0.6,True,0.435,0.0,right,10.46,-1.6,170.23,5.18
2025-11-25T11:57:13.687265Z,1.0,distracted,0.6,True,0.429,0.0,right,11.32,5.98,165.13,3.86
2025-11-25T11:57:14.532645Z,1.0,distracted,0.6,True,0.444,0.0,right,12.16,7.03,166.56,2.78
2025-11-25T11:57:15.382914Z,1.0,distracted,0.6,True,0.451,0.0,right,13.01,9.35,167.12,3.03
2025-11-25T11:57:16.223047Z,1.0,distracted,0.6,True,0.435,0.0,right,13.86,10.63,166.83,3.22
2025-11-25T11:57:17.079327Z,1.0,distracted,0.6,True,0.431,0.0,right,14.71,9.3,166.41,3.52
2025-11-25T11:57:17.932796Z,1.1,distracted,0.6,True,0.444,0.0,right,15.56,8.12,167.13,3.24
2025-11-25T11:57:18.767541Z,1.1,distracted,0.6,True,0.445,0.0,right,16.4,6.38,165.74,4.12
2025-11-25T11:57:19.617689Z,1.1,distracted,0.6,True,0.439,0.0,right,17.25,6.92,166.27,4.11
2025-11-25T11:57:20.446558Z,1.1,distracted,0.6,True,0.439,0.0,right,18.08,8.62,166.64,3.64
2025-11-25T11:57:21.280829Z,1.1,distracted,0.6,True,0.439,0.0,right,18.92,7.89,166.73,3.47
2025-11-25T11:57:22.119268Z,1.1,distracted,0.6,True,0.44,0.0,right,19.75,11.77,165.41,4.45
2025-11-25T11:57:22.954159Z,1.1,distracted,0.6,True,0.437,0.0,right,20.59,7.43,168.08,7.19
2025-11-25T11:57:23.789040Z,1.1,distracted,0.6,True,0.442,0.0,right,21.42,0.83,167.22,7.08
2025-11-25T11:57:24.629451Z,1.1,distracted,0.6,True,0.42,0.0,right,22.27,0.15,166.96,6.39
2025-11-25T11:57:25.473597Z,1.1,distracted,0.6,True,0.375,0.0,right,23.11,2.84,168.19,9.53
2025-11-25T11:57:26.299898Z,1.1,distracted,0.6,True,0.38,0.0,right,23.94,0.95,166.84,8.22
2025-11-25T11:57:27.136890Z,1.2,distracted,0.6,True,0.394,0.0,right,24.77,2.01,167.2,7.82
2025-11-25T11:57:27.972514Z,1.2,distracted,0.6,True,0.378,0.0,right,25.61,-2.87,166.07,7.98
2025-11-25T11:57:28.811017Z,1.2,distracted,0.6,True,0.397,0.0,right,26.44,-3.02,169.52,8.3
2025-11-25T11:57:29.645770Z,1.2,distracted,0.6,True,0.413,0.0,right,27.28,-8.35,168.13,11.57
2025-11-25T11:57:30.476807Z,1.2,distracted,0.6,True,0.422,0.0,right,28.12,-9.31,168.94,12.47
2025-11-25T11:57:31.307082Z,1.2,distracted,0.6,True,0.444,0.0,right,28.94,-8.09,168.69,12.57
2025-11-25T11:57:32.157761Z,1.2,distracted,0.6,True,0.444,0.0,right,29.78,-7.98,168.15,12.51
2025-11-25T11:57:33.005043Z,1.2,distracted,0.6,True,0.383,0.0,right,30.63,-2.97,164.94,10.81
2025-11-25T11:57:33.859955Z,1.2,distracted,0.6,True,0.346,0.0,right,31.48,5.73,163.65,0.56
2025-11-25T11:57:34.694602Z,1.2,distracted,0.6,True,0.384,0.0,right,32.33,11.97,162.82,-4.02
2025-11-25T11:57:35.752386Z,1.2,distracted,0.6,True,0.412,0.0,right,33.38,10.6,163.48,-1.9
2025-11-25T11:57:36.589027Z,1.2,distracted,0.6,True,0.413,0.0,right,34.22,14.61,162.82,-3.66
2025-11-25T11:57:37.427765Z,1.2,distracted,0.6,True,0.38,0.0,right,35.06,13.0,161.56,-3.28
2025-11-25T11:57:38.276385Z,1.2,distracted,0.6,True,0.361,0.0,right,35.9,14.22,162.44,-2.84
2025-11-25T11:57:39.110738Z,1.2,distracted,0.6,True,0.369,0.0,right,36.74,13.14,162.7,-2.9
2025-11-25T11:57:39.990984Z,1.2,distracted,0.6,True,0.405,0.0,right,37.6,14.14,165.17,-2.29
